Messlauf,Nps,Npt,Nqs,Nqt,Tp,Tq
0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0001410890764800397,6.684233088178778e-5,5.203053539360809,3.138070073158917,0.0017321538586934464,0.014273206690844833
24,0.0001599592314264721,7.783552108811244e-5,1.8739970246139113,5.140786258752922,0.006139203825377314,0.20424495413996094
25,0.00021346235365139084,0.00015876477945446,4.073434720571146,4.309638994319119,0.01441804440309589,0.1550720206239333
26,0.0001364117395343817,0.00024544937554478105,3.433914307353514,6.427811051336592,0.0014403451915987182,0.46451052779310614
27,0.00057947546678687,0.0006892506773584283,1.795082374292009,2.81094140385677,0.08422864484634225,0.05492442956393327
30,0.0005212963676674111,0.0016469169112625984,0.028142336958872114,1.5537287210769906,2.9009582943632446,0.002148296786317659
31,0.0011483802321180896,0.0023646012226715245,0.02996669862912476,2.2736017102833808,7.7265658142636955,0.06317025812795793
32,0.0005528436814586056,0.0007537266824345579,1.3211058840267453,1.9094026714019061,0.0008422669841111005,0.4968765329388874
54,0.00023523904260759512,0.0010927812197593428,0.032518692352296055,1.126016143911297,0.5314212671354005,0.04655116821914954
55,0.015956665594603976,0.26729818513327286,2.347449795025868,1.992859055539008,3.018903814775912e-6,0.18898348071508414
56,0.0005810939781805394,0.0012176363572447171,0.20309673991351435,11.428602054645506,0.3127608897598091,0.0006871774744296804
57,0.19940783088663327,0.0009685792248876296,0.017535970763911127,14.115948358648994,1.0244669597744793,0.047574374168465765
58,0.0005879196545892989,0.0008850875907555273,0.7864226981790835,1.295488038431498,0.5364552536443725,0.0009285135449782989
80,0.0036514967746868435,0.0016482084838067147,359.9449316154547,968.3276572846823,48.151573440294555,128.61401704664934
100,0.02229171064006459,0.029068145280072667,0.06485701090150345,12.832029871414566,1.903764955093239,0.8286668623478941
101,0.0009020910021675689,0.0008349080032016558,0.03202291087579843,5.356967894229929,0.5220112747403041,0.000634559342347365
114,1.1250177881556354,0.10355348802166982,3683.5902717954327,1396.0546898746727,188.75566809606065,247.05013968685768
121,0.0005035560146855157,0.0036741795902309887,0.2933400088101538,6.856386514536837,0.001535414796739467,0.3016651018352736
130,0.004774074875895737,0.06809453584885644,1.821590504813944,3.2780366821217872,0.004454287364421882,0.3882094520886652
131,0.04992819150173983,1.379674042474548,237.83781848326444,4418.461738384438,0.07609540871087175,1261.048869765254
132,0.0003909964774743193,0.0006622352552394196,0.38193942289462013,1.6778957262202152,0.28640306971093576,0.0006069898940565932
